	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
JVpna-409	0.551	0.487										
JVpna-410	0.014	0.026	0.704	0.871	0.924	0.914	0.907	0.85	0.87	0.895	0.972	0.839
JVpna-411	0.029	0.024	0.694	0.686	0.825	0.792	0.862	0.778	0.856	0.865	0.902	0.819
JVpna-412	0.01	0.009	0.312	0.433	0.836	0.64	0.803	0.746	0.878	0.888	0.9	0.869
JVpna-413	0.013	0.011	0.597	0.309	0.687	0.724	0.843	0.735	0.769	0.873	0.875	0.889
JVpna-414	0.874	0.786										
JVpna-415	0.756	0.704										
JVpna-416	0.951	0.859										
JVpna-417	0.962	0.939										
JVpna-418	0.033	0.036	0.946	0.867	0.798	0.809	0.832	0.859	0.74	0.852	0.845	0.871
JVpna-419	0.835	0.95										
JVpna-420	0.165	0.043	0.868	0.877	0.841	0.821	0.846	0.814	0.812	0.842	0.856	0.83
JVpna-421	0.694	0.684										
JVpna-422	0.012	0.006	0.162	0.301	0.796	0.751	0.917	0.83	0.843	0.887	0.898	0.852
JVpna-423	0.049	0.06	0.822	0.824	0.936	0.933	0.97	0.892	0.973	0.938	0.984	0.969
JVpna-424	0.696	0.643										
JVpna-425	0.078	0.453	0.892	0.889	0.897	0.875	0.788	0.848	0.929	0.75	0.883	0.911
JVpna-426	0.272	0.226										
JVpna-427	0.481	0.464										
JVpna-428	0.745	0.412										
JVpna-429	0.076	0.034	0.34	0.032	0.836	0.744	0.819	0.833	0.954	0.887	0.924	0.847
JVpna-430	0.49	0.51										
JVpna-431	0.003	0.004	0.73	0.669	0.889	0.839	0.913	0.895	0.894	0.857	0.975	0.817
JVpna-432	0.043	0.169	0.69	0.563	0.91	0.901	0.907	0.876	0.909	0.911	0.968	0.906
JVpna-433	0.013	0.01	0.67	0.617	0.827	0.873	0.887	0.836	0.842	0.902	0.854	0.86
JVpna-434	0.945	1.029										
JVpna-435	0.039	0.023	0.853	0.809	0.933	0.913	0.843	0.828	0.892	0.934	0.908	0.917
JVpna-436	0.066	0.06	0.751	0.774	0.837	0.762	0.797	0.781	0.916	0.762	0.922	0.755
JVpna-437	0.044	0.05	0.719	0.67	0.812	0.754	0.744	0.712	0.771	0.772	0.836	0.769
JVpna-438	0.991	1.071										
JVpna-439	0.918	0.905										
JVpna-440	0.045	0.057	0.789	0.068	0.893	0.833	0.765	0.845	0.914	0.779	0.849	0.898
JVpna-441	0.62	0.465										
JVpna-442	0.042	0.084	0.486	0.047	0.849	0.869	0.793	0.845	0.957	0.836	0.857	0.864
JVpna-443	0.024	0.027	0.022	0.47	0.774	0.838	0.797	0.793	0.888	0.871	0.949	0.864
JVpna-444	0.99	1.074										
JVpna-445	0.637	0.019										
JVpna-446	0.839	0.91										
JVpna-447	0.983	0.979										
JVpna-448	0.021	0.004	0.008	0.146	0.722	0.745	0.908	0.912	0.911	0.821	0.987	0.894
JVpna-449	0.007	0.007	0.014	0.007	0.752	0.761	0.949	0.898	0.953	0.87	0.999	0.889
JVpna-450	0.988	1.066										
JVpna-451	0.647	0.269										
JVpna-452	0.943	0.859										
JVpna-453	0.437	0.234										
JVpna-454	1.032	0.968										
JVpna-455	1.043	0.942										
JVpna-456	0.04	0.051	0.835	0.834	0.979	0.834	0.947	0.852	0.889	0.838	0.919	0.873
JVpna-457	0.108	0.15										
JVpna-458	0.978	0.889										
JVpna-459	0.04	0.041	0.921	0.93	0.964	0.864	0.876	0.908	0.894	0.811	0.816	0.856
JVpna-460	0.31	0.631										
JVpna-461	0.008	0.011	0.509	0.537	1.031	0.969	1.001	0.939	0.903	0.857	0.979	0.86
JVpna-462	0.843	0.792										
JVpna-463	0.981	0.915										
JVpna-464	0.979	0.974										
JVpna-465	0.02	0.021	0.506	0.497	0.842	0.89	0.888	0.808	0.961	0.901	0.948	0.942
JVpna-466	0.986	1.088										
JVpna-467	0.762	0.782										
JVpna-468	0.034	0.045	0.886	0.792	0.929	0.9	0.993	0.916	1.002	0.804	0.918	0.919
JVpna-227	0.002		0.002		0.21		0.758		1.07		1.097	
JVpna-228		1.089		1.009		0.942		0.942		0.956		0.944
ctrl	0.9835	0.971	0.9285	0.966	0.9285	0.966	0.9285	0.966	0.9285	0.966	0.9285	0.966
