	20 µM 	20 µM 	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1062	0.586	0.626										
Jvpna-1063	0.745	0.704										
Jvpna-1064	0.769	0.78										
Jvpna-1065	0.793	0.814										
Jvpna-1066	0.56	0.613										
Jvpna-1067	0.004	0.003	0.253	0.382	0.644	0.534	0.656	0.664	0.675	0.692	0.657	0.735
Jvpna-1068	0.469	0.603										
Jvpna-1069	0.003	0.001	0.396	0	0.676	0.482	0.614	0.541	0.59	0.49	0.596	0.522
Jvpna-1070	0.001	0	0	0	0	0	0.402	0.578	0.481	0.588	0.431	0.602
Jvpna-1071	0	0	0	0	0	0	0.55	0.387	0.566	0.517	0.599	0.59
Jvpna-1072	0	0	0	0	0	0	0.51	0.371	0.63	0.499	0.586	0.596
Jvpna-1073	0.001	0	0	0	0	0	0.638	0.581	0.626	0.576	0.641	0.585
Jvpna-1074	0.003	0.001	0	0	0.229	0.006	0.636	0.598	0.614	0.573	0.613	0.652
Jvpna-1075	0.013	0.009	0	0	0.614	0.507	0.626	0.63	0.633	0.534	0.576	0.654
Jvpna-1076	0.013	0.009	0.337	0.456	0.636	0.669	0.603	0.7	0.671	0.763	0.66	0.781
Jvpna-1077	0.023	0.013	0.172	0.012	0.509	0.345	0.623	0.554	0.618	0.55	0.625	0.604
Jvpna-1078	0.027	0.021	0	0	0	0	0.471	0.335	0.596	0.603	0.606	0.698
Jvpna-1079	0.028	0.02	0	0	0.14	0.17	0.554	0.445	0.682	0.598	0.619	0.68
Jvpna-1080	0.824	0.852										
Jvpna-1081	0.89	0.846										
Jvpna-1082	0.7	0.715										
Jvpna-1083	0.497	0.462										
Jvpna-1084	0.001	0.036	0	0	0.468	0.523	0.596	0.516	0.639	0.613	0.664	0.699
Jvpna-1085	0	0.429	0.383	0.188	0.501	0.54	0.611	0.58	0.636	0.601	0.661	0.716
Jvpna-1086												
Jvpna-1087	0	0	0	0	0.446	0.439	0.682	0.513	0.633	0.54	0.719	0.636
Jvpna-1088	0.002	0	0	0	0	0	0.509	0.416	0.64	0.577	0.636	0.683
Jvpna-1089	0.002	0	0	0	0.572	0	0.593	0.541	0.638	0.55	0.564	0.573
Jvpna-1090	0.002	0	0	0	0.6	0	0.648	0.574	0.63	0.52	0.576	0.604
Jvpna-1091	0.001	0.001	0	0	0.49	0.425	0.587	0.639	0.624	0.569	0.637	0.614
Jvpna-1092	0.008	0.007	0	0	0.604	0.493	0.599	0.624	0.626	0.628	0.631	0.654
Jvpna-1093	0.543	0.572										
Jvpna-1094	0.024	0.008	0.363	0.25	0.576	0.56	0.609	0.594	0.623	0.637	0.658	0.654
Jvpna-1095	0.015	0.012	0.613	0.517	0.536	0.52	0.649	0.668	0.709	0.685	0.74	0.668
Jvpna-1096	0.036	0.029	0	0	0.348	0.299	0.588	0.442	0.649	0.66	0.638	0.544
ctrl	1.03925	1.03425	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355
