	20 µM 	20 µM 	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1124	0.215	0.458										
Jvpna-1125	0.295	0	0.527	0.458	0.527	0.571	0.632	0.627	0.641	0.568	0.629	0.632
Jvpna-1126	0.474	0.441										
Jvpna-1127	0.842	0.799										
Jvpna-1128	0.018	0.331	0.449	0.301	0.607	0.612	0.63	0.645	0.662	0.632	0.6	0.642
Jvpna-1129	0.005	0.008	0	0	0.32	0.328	0.612	0.687	0.642	0.596	0.65	0.657
Jvpna-1130	0.003	0.003	0.325	0	0.481	0.443	0.604	0.592	0.616	0.529	0.629	0.596
Jvpna-1131	0.002	0.218	0.088	0.01	0.511	0.509	0.577	0.561	0.615	0.623	0.545	0.592
Jvpna-1132	0.001	0.004	0.387	0.211	0.47	0.536	0.669	0.656	0.702	0.749	0.743	0.772
ctrl	1.057	1.051667	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175
