	20 µM 	20 µM 	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1142	0.021	0.018	0.002	0	0.643	0.523	0.668	0.666	0.7	0.693	0.741	0.739
Jvpna-1143	0.025	0.02	0.025	0	0.574	0.328	0.653	0.638	0.712	0.705	0.744	0.745
Jvpna-1144	0.013	0.012	0.002	0	0.522	0	0.588	0.527	0.646	0.499	0.637	0.619
Jvpna-1145	0.01	0.005	0	0	0	0	0.68	0.703	0.687	0.685	0.657	0.673
Jvpna-1146	0.529	0.502										
Jvpna-1147	0.817	0.899										
Jvpna-1148	0.004	0	0	0	0.585	0	0.702	0.7	0.685	0.686	0.683	0.668
Jvpna-1149	0.816	0.827										
Jvpna-1150	0.694	0.687										
ctrl	1.057	1.051667	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175
