	20 µM 	20 µM 	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1116	0.589	0.539										
Jvpna-1117	0.827	0.748										
Jvpna-1118	0.765	0.765										
Jvpna-1119	0.904	0.872										
Jvpna-1120	0.744	0.782										
Jvpna-1121	0.001	0	0	0	0.424	0.549	0.683	0.688	0.69	0.723	0.701	0.745
Jvpna-1122	0.001	0.438	0.646	0.42	0.527	0.545	0.569	0.623	0.613	0.596	0.647	0.636
Jvpna-1123	0.495	0.574										
ctrl	1.03925	1.03425	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355
