	20 µM 	20 µM 	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1133	0.529	0.453										
Jvpna-1134	0.348	0.005	0.565	0.526	0.575	0.553	0.66	0.649	0.658	0.712	0.69	0.766
Jvpna-1135	0.008	0.006	0	0	0	0.317	0.608	0.553	0.712	0.643	0.714	0.747
Jvpna-1136	0.018	0.016	0.353	0.122	0.449	-0.003	0.582	0.513	0.712	0.668	0.702	0.728
Jvpna-1137	0.437	0.474										
Jvpna-1138	0.009	0.008	0	0	0	0	0.655	0.646	0.661	0.689	0.747	0.74
Jvpna-1139	0.607	0.519										
Jvpna-1140	0.394	0	0.415	0.339	0.585	0.481	0.653	0.655	0.639	0.738	0.693	0.758
Jvpna-1141	0.672	0.734										
ctrl	1.057	1.051667	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175	0.64775	0.66175
