	20 µM 	20 µM 	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1097	0.607	0.655										
Jvpna-1098	0.641	0.652										
Jvpna-1099	0.795	0.749										
Jvpna-1100	0.711	0.647										
Jvpna-1101	0.783	0.751										
Jvpna-1102	0.721	0.744										
Jvpna-1103	0.591	0.692										
Jvpna-1104	0.453	0.526										
Jvpna-1105	0.005	0.002	0.111	0.116	0.326	0.354	0.59	0.506	0.663	0.627	0.655	0.694
Jvpna-1106	0.008	0.331	0.008	0	0.236	0.138	0.552	0.518	0.629	0.656	0.681	0.719
Jvpna-1107	0.041	0.067	0.113	0.14	0.425	0.348	0.658	0.623	0.684	0.669	0.657	0.739
Jvpna-1108	0.013	0.008	0.066	0.224	0.482	0.569	0.645	0.698	0.667	0.714	0.697	0.748
Jvpna-1109	0.002	0	0.242	0.126	0.382	0.554	0.66	0.643	0.69	0.681	0.717	0.757
Jvpna-1110	0.53	0.395										
Jvpna-1111	0.456	0.483										
Jvpna-1112	0.769	0.744										
Jvpna-1113	0.737	0.749										
Jvpna-1114	0.662	0.686										
ctrl	1.03925	1.03425	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355	0.7475	0.8355
