	10 µM 	10 µM 	10 µM 	10 µM 	10 µM 	5 µM 	5 µM 	5 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	2.5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	1.25 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.6 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM	0.3 µM	0.3 µM	0.3 µM
	plate 1	plate 2	Titration_1	Titration_2	Titration_3	plate 1	plate 2	Titration_1	Titration_2	Titration_3	plate 1	plate 2	Titration_1	Titration_2	Titration_3	plate 1	plate 2	Titration_1	Titration_2	Titration_3	plate 1	plate 2	Titration_1	Titration_2	Titration_3	plate 1	plate 2	Titration_1	Titration_2	Titration_3
JVpna-229	0.012	0.012				0.007	0.003				0.513	0.564				0.849	0.823				0.9	0.917				1.053	1.055			
JVpna-230	0.012	0.011				0.011	0.01				0.004	0.004				0.652	0.569				0.86	0.843				0.984	0.979			
JVpna-231	0.081	0.068				0.034	0.021				0.531	0.573				0.804	0.716				0.935	0.89				0.987	0.953			
JVpna-232	0.024	0.018				0.564	0.477				0.865	0.781				0.986	0.902				0.904	0.951				1.011	0.962			
JVpna-233	0.018	0.016				0.011	0.016				0.544	0.205				0.648	0.642				0.885	0.932				0.971	0.943			
JVpna-234	0.058	0.085				0.035	0.041				0.704	0.65				0.907	0.826				0.927	0.942				0.978	0.916			
JVpna-235	0.007	0.005				0.006	0.007				0.006	0.005				0.426	0.486				0.779	0.955				0.969	0.996			
JVpna-236	0.009	0.008				0.006	0.008				0.583	0.448				0.917	0.831				0.98	1.039				1.05	1.062			
JVpna-237	0.008	0.009				0.003	0.002				0.005	0.001				0.001	0				1.012	0.721				1.064	1.048			
JVpna-238	0.007	0.006				0.548	0.002				0.505	0.638				0.866	0.823				0.92	0.912				0.999	0.985			
JVpna-239	0.009	0.007				0.01	0.008				0.084	0.006				0.69	0.483				0.798	0.822				1.005	0.982			
JVpna-240	0.033	0.034				0.592	0.693				0.997	0.945				0.962	0.911				0.979	0.925				1.031	0.929			
JVpna-241	0.016	0.017				0.002	0				0.679	0.667				0.893	0.846				0.981	0.896				1.053	0.981			
JVpna-242	0.051	0.054				0.781	0.754				0.973	0.941				0.967	0.951				0.98	0.968				1.01	0.933			
JVpna-243	0.011	0.006				0.006	0.006				0.755	0.681				0.883	0.89				0.972	0.955				1.026	0.957			
