	10 µM 	10 µM 	5 µM 	5 µM 	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM	0.3 µM	0.3 µM
	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1	plate 1
JVpna-289	0.009	0.009	0.306	0.002	0.632	0.724	0.695	0.799	0.894	0.913	0.925	0.953
JVpna-290	0.013	0.011	0.649	0.529	0.825	0.734	0.978	1.075	0.939	0.914	0.911	0.902
JVpna-291	0.008	0.009	0.004	0.006	0.687	0.6	0.851	0.875	0.961	0.946	0.916	0.908
JVpna-292	0.026	0.023	0.019	0.024	0.561	0.541	0.822	0.922	0.853	0.83	0.89	0.916
JVpna-293	0.016	0.02	0.009	0.011	0.35	0.339	0.612	0.555	0.76	0.762	0.954	0.896
JVpna-294	0.316	0.378										
JVpna-295	0.477	0.527										
JVpna-296	0.038	0.073	0.534	0.619	0.76	0.777	0.752	0.876	0.899	0.917	0.961	0.914
JVpna-297	0.574	0.595										
JVpna-298	0.004	0.005	0.635	0.676	0.788	0.796	0.856	0.914	0.923	0.9	0.902	0.966
JVpna-299	0.903	0.881										
JVpna-300	0.036	0.039	0.023	0.019	0.04	0.022	0.803	0.758	0.952	0.975	1.033	1.059
JVpna-301	0.022	0.017	0.019	0.011	0.694	0.63	0.894	0.885	0.957	1.015	0.993	0.962
JVpna-302	0.003	0.002	0.477	0.441	0.873	0.739	0.883	0.892	0.914	0.908	0.931	0.952
JVpna-303	0.005	0.008	0.002	0	0.584	0.524	0.79	0.726	0.884	0.94	1.012	0.923
JVpna-304	0.004	0.008	0.294	0.448	0.737	0.472	0.837	0.799	0.963	0.919	0.958	0.922
JVpna-305	0.003	0.004	0	0	0.414	0.497	0.728	0.736	0.961	0.885	0.965	0.914
JVpna-306	0.02	0.017	0.004	0.008	0.019	0.005	0.785	0.828	0.882	0.979	0.952	1.053
JVpna-307	0.051	0.042	0.01	0.015	0.623	0.658	0.778	0.872	0.927	0.928	0.94	0.903
JVpna-308	0.006	0.008	0.532	0.449	0.908	0.883	0.992	0.997	1.013	1.042	1.045	1.063
JVpna-309	0.006	0.009	0.003	0.003	0.826	0.579	1.117	1.008	1.216	1.127	1.275	1.218
JVpna-310	0.028	0.047	0.995	0.887	1.231	1.167	1.188	1.106	1.216	1.131	1.196	1.174
JVpna-311	0.005	0.007	0.001	0.009	0.84	0.628	1.082	0.907	1.221	1.148	1.236	1.176
JVpna-312	1.025	1.039										
JVpna-313	0.006	0.004	0.013	0.001	0.849	0.696	1.001	0.899	1.312	1.105	1.304	1.144
JVpna-314	0.016	0.015	0.009	0.005	0.01	0.004	0.013	0.241	1.095	1.03	1.298	1.169
JVpna-315	0.007	0.009	0.002	0.006	0.395	0.546	0.933	0.819	1.195	1.078	1.299	1.109
JVpna-316	0.031	0.028	0.009	0.012	0.022	0.01	0.959	0.842	1.164	1.001	1.228	1.087
JVpna-317	0.004	0.004	0.724	0.573	0.887	0.783	1.096	0.985	1.253	1.137	1.305	1.22
JVpna-318	0.022	0.024	0.02	0.021	0.969	0.855	1.1	1.005	1.232	1.165	1.273	1.213
JVpna-319	0.011	0.007	0.003	0.004	0.003	0.003	0.888	0.711	1.104	1.074	1.302	1.162
JVpna-320	0.018	0.016	0.711	0.587	0.991	0.895	1.124	1.082	1.229	1.168	1.279	1.117
JVpna-321	0.017	0.008	0.975	0.814	1.109	0.976	1.234	1.097	1.189	1.118	1.254	1.183
JVpna-322	0.018	0.024	0.024	0.032	0.63	0.441	1.041	0.942	1.157	1.13	1.288	1.134
JVpna-323	0.025	0.041	0.028	0.034	0.576	0.151	0.999	0.877	1.068	1.038	1.252	1.192
JVpna-324	0.141	0.568										
JVpna-325	0.059	0.075	0.889	0.596	1.089	0.999	1.252	1.134	1.224	1.146	1.268	1.17
JVpna-326	0.449	0.78										
JVpna-327	0.621	0.747										
JVpna-328	0.583	0.149										
JVpna-329	0.018	0.019	0.971	0.661	1.033	0.919	1.197	1.096	1.315	1.21	1.35	1.278
JVpna-330	0.015	0.02	0.392	0.007	0.453	0.517	0.734	0.622	0.848	0.909	0.871	0.894
JVpna-331	0.017	0.015	0.013	0.011	0.69	0.485	0.636	0.664	0.83	0.834	0.895	0.877
JVpna-332	0.765	0.9										
JVpna-333	0.013	0.014	0.011	0.007	0.522	0.57	0.773	0.823	0.855	0.88	0.851	0.853
JVpna-334	0.017	0.035	0.503	0.463	0.67	0.753	0.805	0.77	0.87	0.856	0.873	0.905
JVpna-335	0.009	0.005	0.006	0.088	0.55	0.564	0.68	0.679	0.886	0.903	0.924	0.906
JVpna-336	0.013	0.463	0.686	0.649	0.869	0.826	0.939	0.837	0.894	0.879	0.951	0.924
JVpna-337	0.563	0.752										
JVpna-338	0.001	0	0.604	0.671	0.799	0.702	0.762	0.774	0.869	0.843	1.013	0.956
JVpna-339	0.001	0	0.568	0.639	0.779	0.737	0.803	0.854	0.918	0.935	0.939	0.953
JVpna-340	0.009	0.01	0.004	0.001	0.266	0.281	0.644	0.682	0.793	0.825	0.962	0.947
JVpna-341	0.032	0.043	0.042	0.384	0.752	0.623	0.851	0.852	0.828	0.915	1.016	0.952
JVpna-342	0.058	0.017	0.57	0.653	0.789	0.899	0.943	0.962	0.939	1.018	0.932	0.991
JVpna-343	0.019	0.016	0.009	0.008	0.119	0.39	0.721	0.702	0.823	0.812	0.988	0.928
JVpna-344	0.02	0.92										
JVpna-345	0.005	0.002	0.006	0.005	0.69	0.614	0.788	0.726	0.954	0.945	1.045	1.064
JVpna-346	0.704	0.885										
JVpna-347	0.747	0.859										
JVpna-348	0.646	0.686										
JVpna-177	0.003		0		0.001		0.001		0.808		0.987	
JVpna-178		0.947		0.859		0.934		0.996		0.987		0.991
ctrl	0.99225	1.069	1.00675	1.26825	1.00675	1.26825	1.00675	1.26825	1.00675	1.26825	1.00675	1.26825
