	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1350	0	0	0	0	0	0.01	0	0.046	0.643	0.537
Jvpna-21	0	0	0	0	0	0	0	0	0.402	0.528
Jvpna-22	0.518	0.402	0.588	0.688	0.657	0.691	0.686	0.662	0.682	0.693
Jvpna-1351	0.001	0	0.01	0.002	0	0	0.176	0.116	0.559	0.546
Jvpna-174	0	0	0	0	0.223	0.055	0.406	0.242	0.675	0.56
Jvpna-1352	0	0	0	0.03	0	0.006	0.002	0.509	0.688	0.605
Jvpna-1353	0	0	0.027	0	0	0.229	0.733	0.622	0.605	0.653
Jvpna-167	0	0	0	0.004	0	0	0.652	0.647	0.79	0.758
Jvpna-177	0	0	0	0	0	0	0	0	0.497	0.518
Jvpna-178	0.502	0.478	0.603	0.632	0.667	0.703	0.64	0.684	0.648	0.646
ctrl	0.719214	0.752786	0.719214	0.752786	0.719214	0.752786	0.719214	0.752786	0.719214	0.752786
