	10 µM	10 µM	5 µM	5 µM	2.5 µM	2.5 µM	1.25 µM	1.25 µM	0.6 µM	0.6 µM
	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2	plate 1	plate 2
Jvpna-1332	0.667	0.675	0.661	0.628	0.655	0.682	0.695	0.705	0.714	0.73
Jvpna-1333	0.654	0.62	0.651	0.578	0.662	0.601	0.639	0.647	0.708	0.714
Jvpna-1334	0.633	0.6	0.675	0.584	0.593	0.603	0.596	0.641	0.587	0.664
Jvpna-1335	0.548	-0.005	0.625	0.593	0.642	0.562	0.662	0.627	0.69	0.623
Jvpna-1336	0	0	0.005	0	0.446	0.405	0.541	0.507	0.589	0.643
Jvpna-1337	0	0	0.004	0	0	0	0.501	0.41	0.599	0.613
Jvpna-1338	0	0	0	0	0.412	0.377	0.509	0.461	0.63	0.612
Jvpna-1339	0	0	0	0	0	0.198	0.576	0.455	0.62	0.633
Jvpna-1340	0	0	0	0	0	0	0.02	0	0.638	0.626
Jvpna-1341	0	0	0	0	0	0	0.115	0.102	0.622	0.582
Jvpna-1342	0	0	0	0	0	0	0	0	0.444	0.408
Jvpna-1343	0	0	0	0	0	0	0.011	0	0.47	0.528
Jvpna-1344	0	0	0	0	0	0	0.007	0	0.666	0.543
Jvpna-1345	0	0	0	0	0.211	0.2	0.661	0.678	0.732	0.745
Jvpna-1346	0.01	0	0	0	0	0	0.636	0.649	0.784	0.798
Jvpna-1347	0.05	0.035	0.04	0	0.007	0.007	0.54	0.557	0.669	0.716
Jvpna-1348	0.019	0.012	0.022	0.043	0	0.024	0.609	0.406	0.739	0.643
Jvpna-1349	0.036	0.011	0.035	0.043	0.011	0.005	0.471	0.66	0.631	0.632
ctrl	0.719214	0.752786	0.719214	0.752786	0.719214	0.752786	0.719214	0.752786	0.719214	0.752786
Jvpna-177	0	0	0	0	0	0	0	0	0.497	0.518
Jvpna-178	0.502	0.478	0.603	0.632	0.667	0.703	0.64	0.684	0.648	0.646
