
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
b0012	1	0	1	0	0	0	uncharacterized protein MbiA"	0	0	0	0	0	0	 // Corrected Stop	
b0029	2	0	1	0	0	1	4-hydroxy-3-methylbut-2-enyl diphosphate	0	0	0	0	0	0	 // Corrected Stop	
b0049	1	0	1	0	0	0	diadenosine tetraphosphatase"	0	0	0	0	0	0	 // Corrected Stop	
b0053	1	0	0	15	0	0	chaperone SurA"	0	0	0	0	0	0	0	
b0058	3	1	1	1	0	0	23S rRNA pseudouridine(746) and tRNA	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
b0064	2	0	1	2	0	0	DNA-binding transcriptional dual regulator AraC"	0	0	0	0	0	0	 // Corrected Stop	
b0099	1	0	1	0	0	0	8-oxo-dGTP diphosphatase"	0	0	0	0	0	0	 // Corrected Stop	
b0112	1	1	0	0	0	0	aromatic amino acid:H(+) symporter AroP"	0	0	0	0	0	0	 // Corrected Start	
b0117	2	0	1	2	0	0	DUF3300 domain-containing protein YacH"	0	0	0	0	0	0	 // Corrected Stop	
b0125	2	1	0	7	0	0	hypoxanthine phosphoribosyltransferase"	0	0	0	0	0	0	 // Modell shifted 1 base(s) // Corrected Start	
b0132	1	0	1	0	0	0	recombination-promoting nuclease RpnC"	0	0	0	0	0	0	 // Corrected Stop	
b0143	1	1	0	0	0	0	poly(A) polymerase I"	0	0	0	0	0	0	 // Corrected Start	
b0158	3	0	1	2	0	1	vitamin B12 ABC transporter periplasmic binding	0	0	0	0	0	0	 // Corrected Stop	
b0170	1	1	0	0	0	0	protein chain elongation factor EF-Ts"	0	0	0	0	0	0	 // Corrected Start	
b0172	1	1	0	0	0	0	ribosome-recycling factor"	0	0	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Start	
b0188	1	0	1	0	0	0	tRNA(Ile)-lysidine synthetase"	0	0	0	0	0	0	 // Corrected Stop	
b0193	3	0	1	7	0	1	peptidase C92 family protein YaeF"	0	0	0	0	0	0	 // Corrected Stop	
b0200	2	0	1	1	0	0	D-glycero-beta-D-manno-heptose-1,7-bisphosphate	0	0	0	0	0	0	 // Corrected Stop	
b0210	1	0	0	21	0	0	putative S-adenosylmethionine-dependent	0	0	0	0	0	0	0	
b0295	3	0	1	5	0	1	uncharacterized protein YkgL"	0	0	0	0	0	0	 // Corrected Stop	
b0322	2	0	1	0	0	1	putative uncharacterized protein YahH"	0	0	0	0	0	0	 // Corrected Stop	
b0327	3	0	1	3	0	1	uncharacterized protein YahM"	0	0	0	0	0	0	 // Corrected Stop	
b0331	1	0	0	0	0	1	2-methylisocitrate lyase"	0	0	0	0	0	0	0	
b0364	1	0	1	0	0	0	putative deacetylase YaiS"	0	0	0	0	0	0	 // Corrected Stop	
b0365	1	0	0	14	0	0	taurine ABC transporter periplasmic binding	0	0	0	0	0	0	0	
b0399	2	0	1	0	0	1	DNA-binding transcriptional dual regulator PhoB"	0	0	0	0	0	0	 // Corrected Stop	
b0423	1	0	0	14	0	0	tRNA uridine 4-sulfurtransferase"	0	0	0	0	0	0	0	
b0453	3	0	1	2	0	1	PF09619 family lipoprotein YbaY"	0	0	0	0	0	0	 // Corrected Stop	
b0463	1	0	0	17	0	0	multidrug efflux pump membrane fusion lipoprotein	0	0	0	0	0	0	0	
b0470	1	0	0	0	2	0	DNA polymerase III subunit gamma"	0	0	0	0	0	0	0	
b0476	2	0	1	0	0	1	acetylesterase"	0	0	0	0	0	0	 // Corrected Stop	
b0481	4	1	1	1	0	1	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK"	0	0	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Start // Corrected Stop	
b0484	2	0	0	16	2	0	soluble Cu(+) chaperone"	0	0	0	0	0	0	0	
b0488	1	1	0	0	0	0	NfeD-like family protein YbbJ"	0	0	0	0	0	0	 // Corrected Start	
b0495	1	0	0	13	0	0	putative ABC transporter ATP-binding protein	0	0	0	0	0	0	0	
b0537	4	1	1	16	0	1	putative integrase"	0	0	0	11	0	0	 // Corrected Start // Corrected Stop	
b0561	1	0	1	0	0	0	putative tail fiber assembly protein TfaD"	0	0	0	0	0	0	 // Corrected Stop	
b0563	1	0	1	0	0	0	protein TfaX"	0	0	0	0	0	0	 // Corrected Stop	
