fixX	b0044
kefC	b0047
ftsL	b0083
murE	b0085
murF	b0086
mraY	b0087
murG	b0090
ddlB	b0092
ftsA	b0094
ampE	b0111
yadH	b0128
fhuB	b0153
rnhB	b0183
arfB	b0191
insI1	b0256
mmuM	b0261
insF1	b0299
ykgG	b0308
yahF	b0320
codA	b0337
mhpF	b0351
mhpE	b0352
insD1	b0361
tauC	b0367
tauD	b0368
pgpA	b0418
mdlB	b0449
ybbM	b0491
ybbP	b0496
ybbD	b0501
ybcF	b0521
renD	b0542
insE1	b0540
insF1	b0541
ybcN	b0547
ybcO	b0549
rusA	b0550
ylcG	b4509
rzpD	b0556
rzoD	b4510
aaaD	b4634
tfaD	b0561
entF	b0586
dpiA	b0620
djlB	b0646
djlC	b0649
ybfC	b0704
phr	b0708
ybgK	b0712
ybgL	b0713
sdhD	b0722
tolQ	b0737
bioF	b0776
bioC	b0777
bioD	b0778
moaD	b0784
ybiR	b0818
gsiA	b0829
nfsA	b0851
potI	b0857
amiD	b0867
macB	b0879
lpxK	b0915
kdsB	b0918
mukF	b0922
mukE	b0923
elfG	b0941
ycbF	b0944
ymbA	b0952
hyaB	b0973
hyaD	b0975
hyaE	b0976
hyaF	b0977
insB1	b0988
gnsA	b4517
torD	b0998
ycdU	b1029
opgH	b1049
tmk	b1098
holB	b1099
thiK	b1106
lolD	b1117
ymfM	b1148
ymfQ	b1153
ychQ	b1213
narH	b1225
narJ	b1226
oppF	b1247
yciO	b1267
ycjP	b1312
ycjT	b1316
ycjU	b1317
ycjF	b1322
ydaW	b1361
rzoR	b4528
ydaY	b1366
ynbE	b1382
paaF	b1393
paaI	b1396
paaY	b1400
insI1	b1404
tehB	b1430
ydcV	b1443
ydcD	b1457
fdnI	b1476
lsrC	b1514
ydfD	b1576
rsxC	b1629
ydiT	b1700
arpB	b4494
ynjC	b1755
yebT	b1834
znuB	b1859
yecE	b1868
cmoB	b1871
yedF	b1930
fliG	b1939
fliH	b1940
fliK	b1943
fliN	b1946
yeeS	b2002
yeeW	b2006
